Timestamp,Message,Mood,Mood Category,Confidence,Intensity,Reply,Lead Score,Summary,Suggested Action,lead_type,estimated_revenue
2025-07-16 15:02:04,"Hi! I’m really impressed by your service and want to know more about your premium plan.
",😲 Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,🟠 Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:02:48,"Hi! I’m really impressed by your service and want to know more about your premium plan.
",😲 Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,🟠 Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:05:23,"Hi! I’m really impressed by your service and want to know more about your premium plan.
",😲 Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,🟠 Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:07:17,"Hi! I’m really impressed by your service and want to know more about your premium plan.
",😲 Surprised,neutral,96.3,medium,Thanks for your message. How can I assist you today? What particular aspect of our product/service interests you most?,🟠 Warm,Inquired about pricing.,Send pricing details,warm,5000.0
2025-07-16 15:09:17,Hey! I'm really excited about your new product launch!,😊 Happy,happy,91.42,medium,That's wonderful to hear! I'm excited to assist you today. What particular aspect of our product/service interests you most?,🟠 Warm,General inquiry.,No action needed,warm,5000.0
2025-07-16 15:09:31,I've been trying to reach someone for hours and no one is responding,😢 Sad,sad,76.46,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,❄️ Cold,General inquiry.,No action needed,cold,0.0
2025-07-16 15:09:49,I'm really disappointed with my recent experience,😢 Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,❄️ Cold,Expressed dissatisfaction.,Escalate to customer success team,cold,0.0
2025-07-16 15:10:35,oh my god ! iam really very very excited,😲 Surprised,neutral,77.47,high,Thank you for reaching out. I'm here to help with whatever you need. What can I help you with today?,🟡 Medium,General inquiry.,No action needed,cold,0.0
2025-07-16 21:24:59,"This is absolutely terrible service, I'm furious right now!!!",😠 Angry,angry,94.27,high,"I completely understand your frustration, and I sincerely apologize for this experience. Let me personally ensure we resolve this for you right away. What particular aspect of our product/service interests you most?",❄️ Cold,General inquiry.,No action needed,,
2025-07-16 21:26:21,I'm really disappointed with my recent experience,😢 Sad,sad,91.83,medium,I'm sorry to hear that. Let me see how I can help improve this situation. What can I help you with today?,❄️ Cold,Expressed dissatisfaction.,Escalate to customer success team,,
